299 ,PERSIMMONS ,101 ,Sutter ,255 ,4.58 ,1168 ,664.30 ,TON ,775900
2007 ,218299 ,PERSIMMONS ,107 ,Tulare ,512 ,7.01 ,3590 ,1120.06 ,TON ,4021000
2007 ,218299 ,PERSIMMONS ,991 ,Sum of Others ,405 ,8.99 ,3642 ,1052.00 ,TONS ,3831400
2007 ,218299 ,PERSIMMONS , 999, State Totals,2380 ,6.67 ,15875 ,1003.87 ,    ,15936500
2007 ,633999 ,PHEASANTS ,991 ,Sum of Others ,  ,  ,  ,  ,  ,350000
2007 ,633999 ,PHEASANTS , 999, State Totals,0 ,  ,0 ,  ,    ,350000
2007 ,634999 ,PIGEONS & SQUABS ,99 ,Stanislaus ,  ,  
