5002F",.,"Universe:  Some other race alone population 25 years and over",,,,
"C15002F",1.000,"Total:","80,584","+/-5,836","74,748","86,420"
"C15002F",2.000,"Male:","44,833","+/-3,693","41,140","48,526"
"C15002F",3.000,"Less than high school diploma","16,501","+/-2,862","13,639","19,363"
"C15002F",4.000,"High school graduate (includes equivalency)","12,703","+/-2,212","10,491","14,915"
"C15002F",5.000,"Some college or associate's degree","7,595","+/-1,789","5,806","9,384"
"C15002F",6.000,"Bachelor's degree o
