inance and insurance, and real estate and rental and leasing","1,274","+/-454","820","1,728"
"B08126",100.000,"Professional, scientific, and management, and administrative and waste management services","6,098","+/-1,417","4,681","7,515"
"B08126",101.000,"Educational services, and health care and social assistance","2,491","+/-734","1,757","3,225"
"B08126",102.000,"Arts, entertainment, and recreation, and accommodation and food services","652","+/-345","307","997"
"B08126",103.000,"Other services (except pu
