","+/-0.2",,,,,,
"S0801",17.0,"Worked outside state of residence","3.9","+/-0.1","4.6","+/-0.1","3.2","+/-0.1",,,,,,
"S0801",17.3,,,,,,,,,,,,,
"S0801",18.0,"Living in a place","78.6","+/-0.1","77.9","+/-0.2","79.4","+/-0.2",,,,,,
"S0801",19.0,"Worked in place of residence","30.4","+/-0.1","28.1","+/-0.2","33.0","+/-0.2",,,,,,
"S0801",20.0,"Worked outside place of residence","48.2","+/-0.2","49.9","+/-0.2","46.4","+/-0.2",,,,,,
"S0801",21.0,"Not living in a place","21.4","+/-0.1","22.1","+/-0.2","20.6","+/-0
