xico",210,"Private wage and salary workers","75.1","+/-1.2","80.5","+/-4.3"
"717","Mexico",211,"Government workers","18.4","+/-0.9","10.3","+/-2.6"
"717","Mexico",212,"Self-employed workers in own not incorporated business","6.3","+/-0.8","9.1","+/-3.4"
"717","Mexico",213,"Unpaid family workers","0.2","+/-0.1","0.2","+/-0.3"
"717","Mexico",214,"Households","374,739","+/-4,285","32,361","+/-2,311"
"717","Mexico",215,"Median household income (dollars)","43,546","+/-1,492","29,335","+/-2,321"
"717","Mexico",21
