sors, transportation and material moving workers, and other transportation workers except motor vehicle operators","49,122","+/-5,265","43,857","54,387"
"B24011",36.000,"Motor vehicle operators","29,823","+/-2,145","27,678","31,968"
"B24011",37.000,"Material moving workers","25,378","+/-1,411","23,967","26,789"
"B24012",.,"SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"B24012",.,"Universe:  Civilia
