00,"No earnings","2,067","+/-704","1,363","2,771"
"C20005I",14.000,"With earnings:","2,571","+/-932","1,639","3,503"
"C20005I",15.000,"$1 to $9,999 or loss","1,520","+/-672","848","2,192"
"C20005I",16.000,"$10,000 to $19,999","417","+/-361","56","778"
"C20005I",17.000,"$20,000 to $29,999","291","+/-237","54","528"
"C20005I",18.000,"$30,000 to $49,999","260","+/-259","1","519"
"C20005I",19.000,"$50,000 to $74,999","44","+/-78","0","122"
"C20005I",20.000,"$75,000 or more","39","+/-68","0","107"
"C20005I",21.0
