,000 to $74,999","16.9","+/-0.4","18.0","+/-0.6","16.3","+/-0.5",,,,,,
"S2503",10.0,"$75,000 to $99,999","10.8","+/-0.3","14.7","+/-0.5","8.8","+/-0.4",,,,,,
"S2503",11.0,"$100,000 to $149,999","11.0","+/-0.2","18.1","+/-0.5","7.4","+/-0.3",,,,,,
"S2503",12.0,"$150,000 or more","10.4","+/-0.3","18.5","+/-0.6","6.2","+/-0.3",,,,,,
"S2503",13.0,"Median household income (dollars)","48,631","+/-641","77,120","+/-1,019","37,562","+/-749",,,,,,
"S2503",13.3,,,,,,,,,,,,,
"S2503",13.5,"MONTHLY HOUSING COSTS",,,,,,,
