traction, maintenance, and repair occupations:","1,524","+/-540","984","2,064"
"C24060",146.000,"Construction and extraction occupations","684","+/-330","354","1,014"
"C24060",147.000,"Installation, maintenance, and repair occupations","840","+/-426","414","1,266"
"C24060",148.000,"Production, transportation, and material moving occupations:","1,219","+/-574","645","1,793"
"C24060",149.000,"Production occupations","492","+/-404","88","896"
"C24060",150.000,"Transportation and material moving occupations","7
