,,,,,,
S0103,32.5,EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,
S0103,33,Population 25 years and over,5575113,+/-1596,1012628,+/-870,,,,,,,,,,
S0103,34,Less than high school graduate,21.1,+/-0.3,36.5,+/-0.7,,,,,,,,,,
S0103,35,High school graduate (includes equivalency),27.2,+/-0.4,31.0,+/-0.7,,,,,,,,,,
S0103,36,Some college or associate's degree,18.9,+/-0.3,12.2,+/-0.5,,,,,,,,,,
S0103,37,Bachelor's degree or higher,32.9,+/-0.3,20.3,+/-0.5,,,,,,,,,,
S0103,37.3, ,,,,,,,,,,,,,,
S0103,37.5,RESPONSIBILITY FOR GRANDCHILDR
