119",.,"Universe:  Workers 16 years and over with earnings",,,,
"B08119",1.000,"Total:","211,096","+/-6,170","204,926","217,266"
"B08119",2.000,"$1 to $9,999 or loss","37,552","+/-2,984","34,568","40,536"
"B08119",3.000,"$10,000 to $14,999","22,685","+/-2,291","20,394","24,976"
"B08119",4.000,"$15,000 to $24,999","43,616","+/-2,983","40,633","46,599"
"B08119",5.000,"$25,000 to $34,999","34,942","+/-3,159","31,783","38,101"
"B08119",6.000,"$35,000 to $49,999","31,842","+/-2,683","29,159","34,525"
"B08119",7.
