ispanic or Latino",177,"Management, professional, and related occupations","26.4","+/-1.2","26.7","+/-1.2"
"450","Not Hispanic or Latino",178,"Service occupations","18.3","+/-1.3","18.0","+/-1.3"
"450","Not Hispanic or Latino",179,"Sales and office occupations","26.6","+/-1.6","26.9","+/-1.5"
"450","Not Hispanic or Latino",180,"Farming, fishing, and forestry occupations","0.4","+/-0.3","0.3","+/-0.2"
"450","Not Hispanic or Latino",181,"Construction, extraction, maintenance, and repair occupations","9.9","+/
