21003",.,"Universe:  Civilian population 25 years and over",,,,
"B21003",1.000,"Total:","407,625","+/-1,953","405,672","409,578"
"B21003",2.000,"Veteran:","53,989","+/-2,903","51,086","56,892"
"B21003",3.000,"Less than high school graduate","9,452","+/-1,106","8,346","10,558"
"B21003",4.000,"High school graduate (includes equivalency)","22,568","+/-2,401","20,167","24,969"
"B21003",5.000,"Some college or associate's degree","13,579","+/-1,678","11,901","15,257"
"B21003",6.000,"Bachelor's degree or higher","
