59,999","73","+/-122","0","195"
"B19037I",64.000,"$60,000 to $74,999","417","+/-275","142","692"
"B19037I",65.000,"$75,000 to $99,999","512","+/-369","143","881"
"B19037I",66.000,"$100,000 to $124,999","349","+/-293","56","642"
"B19037I",67.000,"$125,000 to $149,999","160","+/-149","11","309"
"B19037I",68.000,"$150,000 to $199,999","139","+/-133","6","272"
"B19037I",69.000,"$200,000 or more","0","+/-292","0","292"
"B19049",.,"MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)
