",87.000,"$30,000 to $34,999","2,305","+/-747","1,558","3,052"
"B20005H",88.000,"$35,000 to $39,999","1,523","+/-572","951","2,095"
"B20005H",89.000,"$40,000 to $44,999","1,685","+/-581","1,104","2,266"
"B20005H",90.000,"$45,000 to $49,999","571","+/-318","253","889"
"B20005H",91.000,"$50,000 to $54,999","459","+/-277","182","736"
"B20005H",92.000,"$55,000 to $64,999","640","+/-356","284","996"
"B20005H",93.000,"$65,000 to $74,999","206","+/-182","24","388"
"B20005H",94.000,"$75,000 to $99,999","64","+/-120
