an -- drove alone","75.5%","2.1","76.4%","1.8",
"DP03",20.0,"Car, truck, or van -- carpooled","17.1%","2.1","15.7%","1.7",
"DP03",21.0,"Public transportation (excluding taxicab)","0.9%","0.5","0.3%","0.2",
"DP03",22.0,"Walked","2.5%","0.8","1.0%","0.3","*"
"DP03",23.0,"Other means","0.9%","0.3","2.8%","0.6","*"
"DP03",24.0,"Worked at home","3.1%","0.8","3.9%","1.0",
"DP03",24.3,,,,,,
"DP03",25.0,"Mean travel time to work (minutes)","19.2","**","19.8","**",
"DP03",25.3,,,,,,
"DP03",25.5,"OCCUPATION",,,,,
"DP
