20G",.,"Universe:  Two or more races population for whom poverty status is determined",,,,
"B17020G",1.000,"Total:","15,355","+/-2,675","12,680","18,030"
"B17020G",2.000,"Income in the past 12 months below poverty level:","2,648","+/-1,437","1,211","4,085"
"B17020G",3.000,"Under 5 years","1,243","+/-1,017","226","2,260"
"B17020G",4.000,"5 years","0","+/-303","0","303"
"B17020G",5.000,"6 to 11 years","355","+/-432","0","787"
"B17020G",6.000,"12 to 17 years","109","+/-124","0","233"
"B17020G",7.000,"18 to 64 
