"
Pottsville city,Pennsylvania,"14,764","14,861","14,997","15,170","15,324","15,510","15,549","15,549"
Pringle borough,Pennsylvania,947,950,957,967,977,988,991,991
Prompton borough,Pennsylvania,243,242,243,243,243,244,243,243
Prospect borough,Pennsylvania,"1,273","1,267","1,267","1,267","1,255","1,239","1,234","1,234"
Prospect Park borough,Pennsylvania,"6,449","6,456","6,491","6,513","6,560","6,589","6,594","6,594"
Punxsutawney borough,Pennsylvania,"6,036","6,115","6,156","6,173","6,212","6,263","6,27
