3,312","+/-906","0.9","+/-0.3"
"DP02",119.0,"Other languages","265","+/-172","0.1","+/-0.1"
"DP02",120.0,"Speak English less than ""very well""","157","+/-133","0.0","+/-0.1"
"DP02",120.3,,,,,
"DP02",120.5,"ANCESTRY",,,,
"DP02",121.0,"Total population","380,180","*****","100","(X)"
"DP02",122.0,"American","14,744","+/-2,446","3.9","+/-0.6"
"DP02",123.0,"Arab","109","+/-128","0.0","+/-0.1"
"DP02",124.0,"Czech","5,764","+/-1,467","1.5","+/-0.4"
"DP02",125.0,"Danish","4,956","+/-1,596","1.3","+/-0.4"
"DP02",12
