nutes","6.7","+/-0.1","6.7","+/-0.1","6.7","+/-0.1",,,,,,
"S0801",42.0,"30 to 34 minutes","12.7","+/-0.1","13.5","+/-0.2","12.0","+/-0.2",,,,,,
"S0801",43.0,"35 to 44 minutes","6.4","+/-0.1","6.9","+/-0.1","5.8","+/-0.1",,,,,,
"S0801",44.0,"45 to 59 minutes","6.9","+/-0.1","7.7","+/-0.1","6.0","+/-0.1",,,,,,
"S0801",45.0,"60 or more minutes","6.2","+/-0.1","7.4","+/-0.1","4.9","+/-0.1",,,,,,
"S0801",46.0,"Mean travel time to work (minutes)","23.9","+/-0.1","25.4","+/-0.1","22.2","+/-0.1",,,,,,
"S0801",46.3,
