 ,214199 ,PEARS BARTLETT ,991 ,Sum of Others ,612 ,13.99 ,8560 ,331.03 ,TONS ,2833600
2007 ,214199 ,PEARS BARTLETT , 999, State Totals,10269 ,20.02 ,205566 ,263.46 ,    ,54157900
2007 ,214999 ,PEARS UNSPECIFIED ,33 ,Lake ,43 ,15.26 ,656 ,933.54 ,TON ,612400
2007 ,214999 ,PEARS UNSPECIFIED ,45 ,Mendocino ,234 ,14.92 ,3491 ,824.23 ,TON ,2877400
2007 ,214999 ,PEARS UNSPECIFIED ,61 ,Placer ,40 ,2.35 ,94 ,1904.26 ,TONS ,179000
2007 ,214999 ,PEARS UNSPECIFIED ,77 ,San Joaquin ,488 ,20.00 ,9760 ,175.00 ,TON ,
