2",23.0,"Hispanic or Latino origin (of any race)","27.4","*****","16,197","+/-291",,,,,,,,
"S1902",24.0,"White alone, not Hispanic or Latino","35.1","+/-0.1","48,677","+/-879",,,,,,,,
"S1902",24.3,,,,,,,,,,,,,
"S1902",24.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1902",25.0,"Household income in the past 12 months","33.2","(X)","(X)","(X)",,,,,,,,
"S1902",26.0,"Family income in the past 12 months","36.3","(X)","(X)","(X)",,,,,,,,
"S1902",27.0,"Individual income in the past 12 months","26.3","(X)","(X)","(X)",,,,,,,,
