",,,,
"B06004H",.,"Universe:  White alone, not Hispanic or Latino population in the United States",,,,
"B06004H",1.000,"Total:","549,730","+/-1,803","547,927","551,533"
"B06004H",2.000,"Born in state of residence","444,521","+/-4,824","439,697","449,345"
"B06004H",3.000,"Born in other state in the United States","101,282","+/-4,815","96,467","106,097"
"B06004H",4.000,"Native; born outside the United States","1,439","+/-720","719","2,159"
"B06004H",5.000,"Foreign born","2,488","+/-1,038","1,450","3,526"
"B06
