, not occupied","3,202","+/-1,226","1,976","4,428"
"C25004",3.000,"All other vacant units","2,079","+/-921","1,158","3,000"
"C25014",.,"TENURE BY OCCUPANTS PER ROOM",,,,
"C25014",.,"Universe:  Occupied housing units",,,,
"C25014",1.000,"Total:","37,478","+/-1,855","35,623","39,333"
"C25014",2.000,"Owner occupied:","24,427","+/-1,845","22,582","26,272"
"C25014",3.000,"1.00 or less occupants per room","23,447","+/-1,855","21,592","25,302"
"C25014",4.000,"1.01 or more occupants per room","980","+/-551","429","
