,"35,183"
"B99257",.,"IMPUTATION OF YEAR HOUSEHOLDER MOVED INTO UNIT",,,,
"B99257",.,"Universe:  Occupied housing units",,,,
"B99257",1.000,"Total:","37,478","+/-1,855","35,623","39,333"
"B99257",2.000,"Imputed","712","+/-326","386","1,038"
"B99257",3.000,"Not imputed","36,766","+/-1,857","34,909","38,623"
"B99258",.,"IMPUTATION OF BEDROOMS",,,,
"B99258",.,"Universe:  Housing units",,,,
"B99258",1.000,"Total:","42,759","+/-1,986","40,773","44,745"
"B99258",2.000,"Imputed","562","+/-311","251","873"
"B99258"
