0,900","+/-957,210,816","17,630,350,084","19,544,771,716"
"B19129",7.000,"3 or more workers, other (dollars)","2,940,279,900","+/-332,574,629","2,607,705,271","3,272,854,529"
"B19130",.,"AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY AGE OF HOUSEHOLDER",,,,
"B19130",.,"Universe:  Families",,,,
"B19130",1.000,"Aggregate family income in the past 12 months (in 2007 inflation-adjusted dollars):","122,588,899,700","+/-1,658,545,771","120,930,353,929","124,24
