 $34,999","4,191","+/-966","3,225","5,157"
"B20005",88.000,"$35,000 to $39,999","3,315","+/-952","2,363","4,267"
"B20005",89.000,"$40,000 to $44,999","3,627","+/-1,087","2,540","4,714"
"B20005",90.000,"$45,000 to $49,999","2,263","+/-791","1,472","3,054"
"B20005",91.000,"$50,000 to $54,999","2,089","+/-583","1,506","2,672"
"B20005",92.000,"$55,000 to $64,999","3,398","+/-858","2,540","4,256"
"B20005",93.000,"$65,000 to $74,999","2,529","+/-804","1,725","3,333"
"B20005",94.000,"$75,000 to $99,999","4,375","+
