eholder, no husband present:","4,735","+/-1,096","3,639","5,831"
"C17023",22.000,"No own child","2,138","+/-626","1,512","2,764"
"C17023",23.000,"With own children","2,597","+/-798","1,799","3,395"
"C17024",.,"AGE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS",,,,
"C17024",.,"Universe: Population for whom poverty status is determined",,,,
"C17024",1.000,"Total:","108,226","+/-6,138","102,088","114,364"
"C17024",2.000,"Under 18 years:","24,010","+/-2,730","21,280","26,740"
"C17024",3.000,"Under 0
