 race alone",3,"Two races","3.0","+/-0.4","(X)","(X)"
"070","Some other race alone",4,"Three races","0.2","+/-0.1","(X)","(X)"
"070","Some other race alone",5,"Four or more races","0.0","+/-0.1","(X)","(X)"
"070","Some other race alone",6,"Male","48.9","+/-0.1","50.3","+/-1.3"
"070","Some other race alone",7,"Female","51.1","+/-0.1","49.7","+/-1.3"
"070","Some other race alone",8,"Under 5 years","6.9","+/-0.1","9.1","+/-1.0"
"070","Some other race alone",9,"5 to 17 years","16.8","+/-0.1","22.6","+/-1.3"
"07
