000,"55 to 64 years","170","+/-176","0","346"
"B17007",21.000,"65 to 74 years","0","+/-292","0","292"
"B17007",22.000,"75 years and over","306","+/-248","58","554"
"B17007",23.000,"Income in the past 12 months at or above poverty level:","13,952","+/-1,613","12,339","15,565"
"B17007",24.000,"Male:","6,644","+/-1,185","5,459","7,829"
"B17007",25.000,"15 years","0","+/-292","0","292"
"B17007",26.000,"16 and 17 years","0","+/-292","0","292"
"B17007",27.000,"18 to 24 years","79","+/-129","0","208"
"B17007",28.0
