,"Not a U.S. citizen","156","+/-190","0","346"
"B05003C",.,"SEX BY AGE BY CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,,
"B05003C",.,"Universe:  American Indian and Alaska Native alone population",,,,
"B05003C",1.000,"Total:","N","N","N","N"
"B05003C",2.000,"Male:","N","N","N","N"
"B05003C",3.000,"Under 18 years:","N","N","N","N"
"B05003C",4.000,"Native","N","N","N","N"
"B05003C",5.000,"Foreign born:","N","N","N","N"
"B05003C",6.000,"Naturalized U.S. citizen","N","N","N","N"
"B05003C",7.0
