vention, and other protective service workers including supervisors","200","+/-167","33","367"
"C24010",59.000,"Law enforcement workers including supervisors","263","+/-409","0","672"
"C24010",60.000,"Food preparation and serving related occupations","776","+/-414","362","1,190"
"C24010",61.000,"Building and grounds cleaning and maintenance occupations","936","+/-496","440","1,432"
"C24010",62.000,"Personal care and service occupations","1,886","+/-670","1,216","2,556"
"C24010",63.000,"Sales and office occu
