in combination with one or more other races, not Hispanic or Latino",248,"With related children under 5 years only","4.9","+/-2.3","N","N"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",249,"Female householder, no husband present, family","26.7","+/-4.1","17.0","+/-5.2"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",250,"With related children under 18 years","35.3","+/-5.9","24.0","+/-7.9"
"452","White alone or in combin
