0005H",.,"Universe:  White alone, not Hispanic or Latino population 16 years and over",,,,
"C20005H",1.000,"Total:","2,474,957","+/-6,795","2,468,162","2,481,752"
"C20005H",2.000,"Male:","1,201,202","+/-3,786","1,197,416","1,204,988"
"C20005H",3.000,"Worked full-time, year-round in the past 12 months:","691,600","+/-7,585","684,015","699,185"
"C20005H",4.000,"No earnings","198","+/-191","7","389"
"C20005H",5.000,"With earnings:","691,402","+/-7,628","683,774","699,030"
"C20005H",6.000,"$1 to $9,999 or loss"
