1 ,Ventura ,  ,  ,2340 ,2.14 ,LBS ,5000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,991 ,Sum of Others ,  ,  ,3357 ,2.00 ,LBS ,6700
2007 ,482999 ,APIARY PRODUCTS BEESWAX , 999, State Totals,0 ,  ,831455 ,1.58 ,    ,1364860
2007 ,481999 ,APIARY PRODUCTS HONEY ,11 ,Colusa ,  ,  ,12000 ,1.50 ,LBS ,18000
2007 ,481999 ,APIARY PRODUCTS HONEY ,13 ,Contra Costa ,  ,  ,32000 ,7.00 ,LBS ,224000
2007 ,481999 ,APIARY PRODUCTS HONEY ,19 ,Fresno ,  ,  ,2150000 ,1.22 ,LBS ,2623000
2007 ,481999 ,APIARY PRODUCTS HONEY ,25 
