ty protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,Enrolled in school,,,,,,,,,,,,,,,
,,Total,"Nursery school, preschool",Kindergarten,Grade              1 to 4,Grade              5 to 8,Grade              9 to 12,,,,,,,,,,
..Total ,"293,911","82,239","4,766","3,629","14,274","12,448","13,736",,,,,,,,,,
3 years ,"3,429","1,837","1,723",114,- ,- ,- ,,,,,,,,,,
4 years ,"3,326","2,669","2,208",461,- ,- 
