5,232"
"B25023",7.000,"For migrant workers","-","**","**","**"
"B25023",8.000,"Other vacant","7,161","+/-3,823","3,338","10,984"
"B25024",.,"UNITS IN STRUCTURE",,,,
"B25024",.,"Universe:  Housing units",,,,
"B25024",1.000,"Total:","42,759","+/-1,986","40,773","44,745"
"B25024",2.000,"1, detached","28,192","+/-1,819","26,373","30,011"
"B25024",3.000,"1, attached","1,027","+/-423","604","1,450"
"B25024",4.000,"2","2,179","+/-745","1,434","2,924"
"B25024",5.000,"3 or 4","2,648","+/-822","1,826","3,470"
"B25024
