,"$22,500 to $24,999","806","+/-458","348","1,264"
"B20005H",86.000,"$25,000 to $29,999","2,464","+/-802","1,662","3,266"
"B20005H",87.000,"$30,000 to $34,999","2,100","+/-621","1,479","2,721"
"B20005H",88.000,"$35,000 to $39,999","1,543","+/-582","961","2,125"
"B20005H",89.000,"$40,000 to $44,999","2,010","+/-694","1,316","2,704"
"B20005H",90.000,"$45,000 to $49,999","958","+/-481","477","1,439"
"B20005H",91.000,"$50,000 to $54,999","985","+/-380","605","1,365"
"B20005H",92.000,"$55,000 to $64,999","2,273"
