nce, and repair occupations:","7,281","+/-1,557","5,724","8,838"
"C24010",68.000,"Construction and extraction occupations","3,596","+/-1,023","2,573","4,619"
"C24010",69.000,"Installation, maintenance, and repair occupations","3,685","+/-1,062","2,623","4,747"
"C24010",70.000,"Production, transportation, and material moving occupations:","45,888","+/-4,092","41,796","49,980"
"C24010",71.000,"Production occupations","27,947","+/-3,232","24,715","31,179"
"C24010",72.000,"Transportation and material moving occ
