or in combination with one or more other races, not Hispanic or Latino",13,"45 to 54 years","14.9","+/-0.4","16.1","+/-0.3"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",14,"55 to 64 years","12.0","+/-0.3","14.3","+/-0.2"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",15,"65 to 74 years","7.1","+/-0.2","8.7","+/-0.2"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",16,"75 years 
