000,"Moved within same county:","199,481","+/-13,089","186,392","212,570"
"B07413",8.0000,"Householder lived in owner-occupied housing units","63,427","+/-6,629","56,798","70,056"
"B07413",9.0000,"Householder lived in renter-occupied housing units","136,054","+/-11,032","125,022","147,086"
"B07413",10.0000,"Moved to different county within same state:","62,471","+/-5,226","57,245","67,697"
"B07413",11.0000,"Householder lived in owner-occupied housing units","25,941","+/-3,292","22,649","29,233"
"B07413",12.
