12/28/02||EST|1|F|Y|Northern Virginia|VA|38.8340|-77.2760|OZONE|50|Good|No|
12/26/02|12/27/02||PST|1|F|Y|Oakland|CA|37.8000|-122.2700|PM2.5||Good|No|
12/26/02|12/28/02||PST|2|F|Y|Oakland|CA|37.8000|-122.2700|OZONE||Good|No|
12/24/02|12/27/02||PST|3|F|Y|Ojai|CA|34.4170|-119.2460|OZONE||Good|No|
12/24/02|12/28/02||PST|4|F|Y|Ojai|CA|34.4170|-119.2460|OZONE||Good|No|
12/24/02|12/29/02||PST|5|F|Y|Ojai|CA|34.4170|-119.2460|OZONE||Good|No|
12/23/02|12/27/02||CST|4|F|Y|Oklahoma City|OK|35.4670|-97.5130|PM2.5||Good|
