3.000,"Female:","256,217","+/-2,411","253,806","258,628"
"B18034",44.000,"5 to 15 years:","34,966","+/-1,192","33,774","36,158"
"B18034",45.000,"Income in the past 12 months below the poverty level","8,528","+/-1,509","7,019","10,037"
"B18034",46.000,"Income in the past 12 months at or above the poverty level","26,438","+/-1,812","24,626","28,250"
"B18034",47.000,"16 to 20 years:","17,026","+/-1,465","15,561","18,491"
"B18034",48.000,"Income in the past 12 months below the poverty level","6,009","+/-1,072",
