C08105A",.,"MEANS OF TRANSPORTATION TO WORK (WHITE ALONE)",,,,
"C08105A",.,"Universe:  White alone workers 16 years and over",,,,
"C08105A",1.000,"Total:","216,713","+/-4,815","211,898","221,528"
"C08105A",2.000,"Car, truck, or van - drove alone","159,889","+/-5,286","154,603","165,175"
"C08105A",3.000,"Car, truck, or van - carpooled","16,782","+/-2,092","14,690","18,874"
"C08105A",4.000,"Public transportation (excluding taxicab)","15,776","+/-2,389","13,387","18,165"
"C08105A",5.000,"Taxicab, motorcycle, b
