,201119 ,ORANGES NAVEL , 999, State Totals,140043 ,11.02 ,1542716 ,551.71 ,    ,851139100
2007 ,201999 ,ORANGES UNSPECIFIED ,7 ,Butte ,162 ,4.76 ,771 ,700.39 ,TONS ,540000
2007 ,201999 ,ORANGES UNSPECIFIED ,39 ,Madera ,3840 ,13.61 ,52262 ,145.00 ,TONS ,7578000
2007 ,201999 ,ORANGES UNSPECIFIED ,991 ,Sum of Others ,40 ,19.40 ,776 ,126.80 ,TONS ,98400
2007 ,201999 ,ORANGES UNSPECIFIED , 999, State Totals,4042 ,13.31 ,53809 ,152.70 ,    ,8216400
2007 ,201519 ,ORANGES VALENCIA ,19 ,Fresno ,4641 ,9.65 ,4480
