's degree","N","N","N","N"
"C15002E",11.000,"Bachelor's degree or higher","N","N","N","N"
"C15002F",.,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE)",,,,
"C15002F",.,"Universe:  Some other race alone population 25 years and over",,,,
"C15002F",1.000,"Total:","6,276","+/-1,864","4,412","8,140"
"C15002F",2.000,"Male:","2,893","+/-1,130","1,763","4,023"
"C15002F",3.000,"Less than high school diploma","1,543","+/-829","714","2,372"
"C15002F",4.000,"High school gradua
