7",30.000,"Not a U.S. citizen","N","N","N","N"
"B07008",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES",,,,
"B07008",.,"Universe:  Population 15 years and over in the United States",,,,
"B07008",1.000,"Total:","482,591","+/-1,420","481,171","484,011"
"B07008",2.000,"Never married","115,320","+/-4,479","110,841","119,799"
"B07008",3.000,"Now married, except separated","257,038","+/-7,835","249,203","264,873"
"B07008",4.000,"Divorced","57,426","+/-4,240"
