4.8"
"S1702",5.0,"Black or African American","84,223","+/-3,929","37.5","+/-2.9","30,999","+/-2,957","13.4","+/-3.9","46,805","+/-2,900","53.8","+/-4.3"
"S1702",6.0,"American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N"
"S1702",7.0,"Asian","N","N","N","N","N","N","N","N","N","N","N","N"
"S1702",8.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N"
"S1702",9.0,"Some other race","N","N","N","N","N","N","N","N","N","N","N","N"
"S1702",10.0
