000,"Danish","225","+/-171","54","396"
"C04003",7.000,"Dutch","457","+/-269","188","726"
"C04003",8.000,"English","5,338","+/-1,402","3,936","6,740"
"C04003",9.000,"European","2,845","+/-1,411","1,434","4,256"
"C04003",10.000,"French (except Basque)","1,498","+/-646","852","2,144"
"C04003",11.000,"French Canadian","375","+/-326","49","701"
"C04003",12.000,"German","7,370","+/-1,682","5,688","9,052"
"C04003",13.000,"Greek","310","+/-360","0","670"
"C04003",14.000,"Hungarian","108","+/-126","0","234"
"C04003"
