004I",.,"PLACE OF BIRTH BY RACE (HISPANIC OR LATINO) IN THE UNITED STATES",,,,
"B06004I",.,"Universe:  Hispanic or Latino population in the United States",,,,
"B06004I",1.000,"Total:","3,215","+/-1,071","2,144","4,286"
"B06004I",2.000,"Born in state of residence","1,340","+/-700","640","2,040"
"B06004I",3.000,"Born in other state in the United States","1,426","+/-619","807","2,045"
"B06004I",4.000,"Native; born outside the United States","71","+/-121","0","192"
"B06004I",5.000,"Foreign born","378","+/-205",
