.3","1.1%","0.3",
"DP02",130.0,"German","15.0%","1.4","15.3%","1.6",
"DP02",131.0,"Greek","0.8%","0.3","0.6%","0.3",
"DP02",132.0,"Hungarian","1.1%","1.0","0.3%","0.2",
"DP02",133.0,"Irish","14.9%","1.4","17.7%","1.6",
"DP02",134.0,"Italian","6.2%","0.8","9.7%","1.3","*"
"DP02",135.0,"Lithuanian","0.1%","0.1","0.3%","0.2",
"DP02",136.0,"Norwegian","0.7%","0.3","1.0%","0.3",
"DP02",137.0,"Polish","4.4%","0.9","5.9%","1.1",
"DP02",138.0,"Portuguese","0.2%","0.1","1.2%","0.6",
"DP02",139.0,"Russian","0.7%","0.
