19.000,"Polish","5,469","+/-1,425","4,044","6,894"
"C04004",20.000,"Portuguese","2,311","+/-1,007","1,304","3,318"
"C04004",21.000,"Russian","2,172","+/-902","1,270","3,074"
"C04004",22.000,"Scotch-Irish","5,642","+/-1,463","4,179","7,105"
"C04004",23.000,"Scottish","6,259","+/-1,641","4,618","7,900"
"C04004",24.000,"Slovak","810","+/-361","449","1,171"
"C04004",25.000,"Subsaharan African","3,946","+/-1,826","2,120","5,772"
"C04004",26.000,"Swedish","2,298","+/-1,011","1,287","3,309"
"C04004",27.000,"Swiss"
