2.0,"$200,000 or more","3,160","+/-732","2.1","+/-0.5"
"DP03",63.0,"Median household income (dollars)","53,517","+/-1,329","(X)","(X)"
"DP03",64.0,"Mean household income (dollars)","64,177","+/-1,910","(X)","(X)"
"DP03",64.3,,,,,
"DP03",65.0,"With earnings","122,251","+/-2,166","81.8","+/-1.1"
"DP03",66.0,"Mean earnings (dollars)","64,658","+/-1,813","(X)","(X)"
"DP03",67.0,"With Social Security","37,151","+/-1,486","24.9","+/-1.0"
"DP03",68.0,"Mean Social Security income (dollars)","15,773","+/-551","(X)",
