DJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19025H",.,"Universe:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"B19025H",1.000,"Aggregate household income in the past 12 months (in 2007 inflation-adjusted dollars)","18,936,041,300","+/-711,474,633","18,224,566,667","19,647,515,933"
"B19025I",.,"AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19025I",.,"Universe:  House
