S0506,144,Renter-occupied housing units,885114,+/-13076,484445,+/-8650,51569,+/-3646,43742,+/-3787,276625,+/-7267,112509,+/-4639,,
S0506,144.3,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,,,,,,,
S0506,145,Less than 30 percent,48.1,+/-0.9,46.5,+/-1.2,38.7,+/-4.1,52.1,+/-4.4,46.9,+/-1.6,46.8,+/-2.6,,
S0506,146,30 percent or more,51.9,+/-0.9,53.5,+/-1.2,61.3,+/-4.1,47.9,+/-4.4,53.1,+/-1.6,53.2,+/-2.6,,
S0901,0, , , , , , , , , , , , , , ,
S0901,0.5, ,Total,Margin of Error,In marr
