ull-time, year-round in the past 12 months:","13,391","+/-2,029","11,362","15,420"
"B23010",8.000,"Spouse worked full-time, year-round in the past 12 months","6,100","+/-1,227","4,873","7,327"
"B23010",9.000,"Spouse worked less than full-time, year-round in the past 12 months","5,391","+/-1,252","4,139","6,643"
"B23010",10.000,"Spouse did not work in the past 12 months","1,900","+/-547","1,353","2,447"
"B23010",11.000,"Householder did not work in the past 12 months:","8,161","+/-1,870","6,291","10,031"
"B23
