 motorcycle, or other means","0.9","+/-0.1","1.1","+/-0.1","0.6","+/-0.1",,,,,,
"S0801",13.0,"Worked at home","3.6","+/-0.1","3.4","+/-0.1","3.9","+/-0.1",,,,,,
"S0801",13.3,,,,,,,,,,,,,
"S0801",13.5,"PLACE OF WORK",,,,,,,,,,,,
"S0801",14.0,"Worked in state of residence","96.1","+/-0.1","95.4","+/-0.1","96.8","+/-0.1",,,,,,
"S0801",15.0,"Worked in county of residence","70.7","+/-0.2","67.6","+/-0.2","74.2","+/-0.2",,,,,,
"S0801",16.0,"Worked outside county of residence","25.4","+/-0.2","27.9","+/-0.2","22.6
