ng, and mining:","649","+/-414","235","1,063"
"C24040",31.000,"Agriculture, forestry, fishing and hunting","241","+/-302","0","543"
"C24040",32.000,"Mining","408","+/-303","105","711"
"C24040",33.000,"Construction","1,194","+/-644","550","1,838"
"C24040",34.000,"Manufacturing","1,675","+/-583","1,092","2,258"
"C24040",35.000,"Wholesale trade","1,356","+/-629","727","1,985"
"C24040",36.000,"Retail trade","8,074","+/-1,401","6,673","9,475"
"C24040",37.000,"Transportation and warehousing, and utilities:","1,95
