stallation, maintenance, and repair occupations","819","+/-501","318","1,320"
"C24060",148.000,"Production, transportation, and material moving occupations:","2,124","+/-701","1,423","2,825"
"C24060",149.000,"Production occupations","471","+/-334","137","805"
"C24060",150.000,"Transportation and material moving occupations","1,653","+/-597","1,056","2,250"
"C24060",151.000,"Self-employed in own not incorporated business workers and unpaid family workers:","9,846","+/-1,317","8,529","11,163"
"C24060",152.000
