 ,3700000
2007 ,501199 ,MILK MARKET FLUID ,95 ,Solano ,  ,  ,909792 ,18.71 ,CWT ,17022200
2007 ,501199 ,MILK MARKET FLUID ,97 ,Sonoma ,  ,  ,5477650 ,18.02 ,CWT ,98707300
2007 ,501199 ,MILK MARKET FLUID ,99 ,Stanislaus ,  ,  ,39537000 ,18.20 ,CWT ,719573000
2007 ,501199 ,MILK MARKET FLUID ,103 ,Tehama ,  ,  ,433502 ,18.03 ,CWT ,7816000
2007 ,501199 ,MILK MARKET FLUID ,107 ,Tulare ,  ,  ,100335000 ,18.45 ,CWT ,1851648000
2007 ,501199 ,MILK MARKET FLUID ,113 ,Yolo ,  ,  ,406942 ,17.46 ,CWT ,7105200
200
