994",640,215,118
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,"3,733",40,157,974,760,405,"1,011",266,78,43
..Other family householder,460,6,48,195,84,51,58,13,-,4
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"1,529",25,80,374,313,112,471,109,30,15
..Living with nonrelatives,783,4,26,199,165,77,262,30,14,6
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"2,207",22,112,662,397,250,548,131,52,34
..Other,"1,838",48,157,767,327,151,315,42,25,6
.NONRELATIVE,,,,,,,,,,
..Nonrelative,"1,334",18,1
