949 ,FIELD CROPS SEED MISC. ,67 ,Sacramento ,1500 ,  ,  ,  ,  ,1685000
2007 ,171949 ,FIELD CROPS SEED MISC. ,69 ,San Benito ,155 ,  ,  ,  ,  ,832000
2007 ,171949 ,FIELD CROPS SEED MISC. ,77 ,San Joaquin ,80 ,  ,  ,  ,  ,46000
2007 ,171949 ,FIELD CROPS SEED MISC. ,85 ,Santa Clara ,348 ,  ,  ,  ,  ,870000
2007 ,171949 ,FIELD CROPS SEED MISC. ,95 ,Solano ,756 ,  ,  ,  ,  ,1248100
2007 ,171949 ,FIELD CROPS SEED MISC. ,99 ,Stanislaus ,529 ,  ,  ,  ,  ,756000
2007 ,171949 ,FIELD CROPS SEED MISC. ,101 ,Sutte
