nsportation, and material moving occupations:","4,034","+/-983","3,051","5,017"
"B24010A",62.000,"Production occupations","2,011","+/-747","1,264","2,758"
"B24010A",63.000,"Transportation and material moving occupations","2,023","+/-716","1,307","2,739"
"B24010B",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B24010B",.,"Universe:  Civilian employed Black or African American alone population 16 years and over",,,,
"B24010B",1.000,"Total:",
