83,224","114,626","321,360","232,852","165,603","116,874","98,600","249,525"
.15 to 24 years ,"200,152","3,440","1,141","5,274","10,698","17,826","20,069","21,416","16,482"
.25 to 34 years ,"588,695","25,311","11,728","59,346","33,342","42,071","19,950","21,598","44,372"
.35 to 44 years ,"928,255","42,233","25,523","87,330","42,714","40,475","23,247","21,730","56,018"
.45 to 54 years ,"777,199","35,224","24,689","59,178","36,199","22,717","16,114","12,381","39,732"
.55 to 64 years ,"560,545","29,452","
